Year,Events
1893:,"The Coremans-de Vriendt law is passed in Belgium, creating legal equality for French and Dutch languages."
1894:,First commercial film release by Jean Aimé Le Roy.
1894:,First gramophone record.
1894:,Karl Elsener invents the Swiss Army knife.
1894:,France and the Russian Empire form a military alliance.
1894–1895:,"After the First Sino-Japanese War, China cedes Taiwan to Japan and grants Japan a free hand in Korea."
1894–1906:,Dreyfuss Affair in France.
1894:,"Lombok War[13] The Dutch looted and destroyed the Cakranegara palace of Mataram.[14] J. L. A. Brandes, a Dutch philologist discovered and secured Nagarakretagama manuscript in Lombok royal library."
1895:,Taiwan is ceded to the Empire of Japan as a result of the First Sino-Japanese war.
1895:,Volleyball is invented.
1895:,Trial of Oscar Wilde and premiere of his play The Importance of Being Earnest.
1895:,French troops capture Antananarivo in Madagascar.
1895:,Wilhelm Röntgen identifies x-rays.
1895–1896:,Abyssinia defeats Italy in the First Italo–Ethiopian War.
1895–1898:,Cuban War for Independence results in Cuban independence from Spain.
1896:,Olympic Games revived in Athens.
1896:,Philippine Revolution ends declaring Philippines free from Spanish rule.
1896:,Ethiopia defeated Italy at the Battle of Adwa.
1896:,Klondike Gold Rush in Canada.
1896:," Henri Becquerel discovers radioactivity; J. J. Thomson identifies the electron, though not by name."
1897:,"Gojong, or Emperor Gwangmu, proclaims the short-lived Korean Empire: lasts until 1910."
1897:,Benin Expedition of 1897 loots and burns Benin.
1897:, Greco-Turkish War.
1897:, Bram Stoker writes Dracula.
1897:,First electric bicycle produced by Hosea Libbey.
1898:,"The United States gains control of Cuba, Puerto Rico, and the Philippines after the Spanish–American War."
1898:," Empress Dowager Cixi of China engineers a coup d'état, marking the end of the Hundred Days' Reform; the Guangxu Emperor is arrested."
1898:,H. G. Wells publishes The War of the Worlds.
